Date,stocktotal,stockgasoline,stockdistilled,pricegasoline,pricedistilled,consgasoline,consdistilled,gdp
"Dec 04, 1998",208189,164219,149556,41832,41412,57134,22589,9325.7
"Dec 11, 1998",210252,165716,152754,41454,40824,58198,22386,9325.7
"Dec 18, 1998",208330,165090,151195,41412,40656,60116,26432,9325.7
"Dec 25, 1998",209868,166945,152532,41118,40572,57071,22736,9325.7
"Jan 01, 1999",210839,167866,153929,41034,40530,59633,24024,9447.1
"Jan 08, 1999",217574,173435,154236,41244,40614,51695,23072,9447.1
"Jan 15, 1999",221987,178021,147748,41370,40740,54670,32284,9447.1
"Jan 22, 1999",220885,175927,144253,41034,40488,57302,26068,9447.1
"Jan 29, 1999",223083,177392,144134,40782,40404,55062,23723,9447.1
"Feb 05, 1999",228189,180776,142894,40656,40404,52724,25494,9447.1
"Feb 12, 1999",226045,177187,143281,40320,40278,61292,25221,9447.1
"Feb 19, 1999",229300,178500,141400,39858,40026,55636,25494,9447.1
"Feb 26, 1999",227413,177274,140153,40110,40152,58212,25207,9447.1
"Mar 05, 1999",226726,176539,136371,40446,40488,57911,26166,9447.1
"Mar 12, 1999",222905,172941,131943,42714,42000,59157,27048,9447.1
"Mar 19, 1999",219788,169594,126880,44352,42756,58569,26943,9447.1
"Mar 26, 1999",214520,166756,122106,47082,43932,58359,28315,9447.1
"Apr 02, 1999",214306,166539,124458,48636,45150,55713,21266,9557
"Apr 09, 1999",217386,168378,129208,49518,45528,55146,18550,9557
"Apr 16, 1999",216866,170051,125886,49350,45360,56462,25998,9557
"Apr 23, 1999",214741,166267,127675,49182,45276,62461,22659,9557
"Apr 30, 1999",218406,170711,127434,49392,45276,54775,24283,9557
"May 07, 1999",222885,173328,127311,49560,45486,56413,24794,9557
"May 14, 1999",221972,172841,128194,49560,45150,61327,24157,9557
"May 21, 1999",221589,173568,130493,48972,44772,57925,22890,9557
"May 28, 1999",223026,175282,131664,48342,44730,58807,24129,9557
"Jun 04, 1999",226048,178093,131277,48384,44478,57351,24157,9557
"Jun 11, 1999",221080,174298,133578,48216,44856,61789,20405,9557
"Jun 18, 1999",220647,176884,130411,48846,45444,59654,26999,9557
"Jun 25, 1999",217966,173792,130676,48426,45654,63315,24220,9557
"Jul 02, 1999",214637,169691,130772,48930,46284,63532,22386,9712.3
"Jul 09, 1999",211022,165935,134597,49644,46788,60753,21266,9712.3
"Jul 16, 1999",208902,165547,136057,50736,47586,60354,23044,9712.3
"Jul 23, 1999",205424,162203,136863,51744,47754,60473,23275,9712.3
"Jul 30, 1999",204179,160985,136901,51828,48132,59759,24052,9712.3
"Aug 06, 1999",201096,157863,135889,52332,48552,60508,25165,9712.3
"Aug 13, 1999",202026,158455,137593,53550,49476,59633,22554,9712.3
"Aug 20, 1999",202168,159489,139736,53466,49812,58905,22239,9712.3
"Aug 27, 1999",200462,158140,141615,53466,50148,61670,22715,9712.3
"Sep 03, 1999",198532,156772,141096,53844,50316,61446,24185,9712.3
"Sep 10, 1999",200464,155455,142659,54180,50778,60151,23520,9712.3
"Sep 17, 1999",201304,156122,143717,54894,51492,59528,24724,9712.3
"Sep 24, 1999",199923,155518,145944,54684,51492,62055,22771,9712.3
"Oct 01, 1999",201114,157168,144885,54432,51828,59899,26285,9926.1
"Oct 08, 1999",203234,158680,143767,54180,51576,59031,26411,9926.1
"Oct 15, 1999",202656,159694,143261,53634,51408,58842,26229,9926.1
"Oct 22, 1999",199785,156406,139845,53634,51492,59647,28427,9926.1
"Oct 29, 1999",197816,155186,137974,53382,51618,59724,26747,9926.1
"Nov 05, 1999",195514,154168,134042,53508,51828,58331,28833,9926.1
"Nov 12, 1999",191450,151697,132011,54264,52962,58912,28259,9926.1
"Nov 19, 1999",190202,150898,129432,54978,54138,58828,28196,9926.1
"Nov 26, 1999",191068,151655,131538,55230,54768,58912,24507,9926.1
"Dec 03, 1999",196648,155379,134773,55146,54348,53690,23534,9926.1
"Dec 10, 1999",195581,154566,131816,55230,54096,59899,27398,9926.1
"Dec 17, 1999",194295,153235,128879,55020,54054,60466,27307,9926.1
"Dec 24, 1999",192797,152457,123147,55188,54516,60130,28735,9926.1
"Dec 31, 1999",191997,151378,119659,55104,54978,61957,27993,9926.1
"Jan 07, 2000",194173,154476,122685,54768,54894,55349,21049,10031
"Jan 14, 2000",198240,159177,118825,55356,54894,52801,26362,10031
"Jan 21, 2000",200815,158360,110647,56868,59556,55433,30548,10031
"Jan 28, 2000",201447,158009,106497,56910,60438,58695,27062,10031
"Feb 04, 2000",200937,159659,99621,57288,61740,53494,29344,10031
"Feb 11, 2000",199593,156320,99465,58548,61152,58625,27062,10031
"Feb 18, 2000",196688,152503,99273,60606,61152,59668,26012,10031
"Feb 25, 2000",196523,152602,101005,61236,61362,56504,26327,10031
"Mar 03, 2000",200970,155461,102656,64638,62580,53256,23702,10031
"Mar 10, 2000",198819,154461,102679,65772,62832,60634,25739,10031
"Mar 17, 2000",199255,154568,101573,65898,62118,57407,26586,10031
"Mar 24, 2000",201120,154906,98911,65058,60942,58688,26530,10031
"Mar 31, 2000",203808,157209,97259,64806,60564,55272,25151,10031
"Apr 07, 2000",203566,157070,96666,63672,59598,60585,24073,10278.3
"Apr 14, 2000",202022,155255,92840,62412,58716,59899,29379,10278.3
"Apr 21, 2000",200684,154494,93723,62076,59976,60312,24528,10278.3
"Apr 28, 2000",202506,156156,96433,61362,59556,58114,24115,10278.3
"May 05, 2000",200770,156132,95768,62790,58884,60753,25669,10278.3
"May 12, 2000",202479,158249,96134,64302,59430,57694,26481,10278.3
